price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,calculated_host_listings_count,room_type,neighbourhood_group
165,5,117,1.28,23,1,Entire home/apt,Brooklyn
140,300,0,0.0,365,1,Entire home/apt,Manhattan
185,29,1,0.04,139,31,Entire home/apt,Manhattan
175,30,5,0.37,344,50,Entire home/apt,Manhattan
155,1,4,0.19,0,2,Private room,Brooklyn
85,1,208,4.14,197,4,Entire home/apt,Brooklyn
145,3,3,0.26,69,1,Entire home/apt,Brooklyn
47,1,7,0.82,0,1,Private room,Queens
34,1,0,0.0,0,1,Private room,Brooklyn
95,2,24,1.08,0,1,Private room,Brooklyn
89,7,10,0.51,11,1,Entire home/apt,Brooklyn
52,3,10,0.85,0,1,Private room,Manhattan
38,2,0,0.0,177,7,Private room,Bronx
145,4,18,0.49,0,1,Entire home/apt,Brooklyn
175,1,60,3.05,317,1,Entire home/apt,Queens
75,3,17,0.74,0,1,Private room,Manhattan
200,4,4,0.07,0,1,Entire home/apt,Manhattan
79,30,0,0.0,216,2,Private room,Brooklyn
160,5,102,3.04,118,4,Entire home/apt,Manhattan
150,30,5,0.11,228,39,Entire home/apt,Manhattan
95,1,22,1.12,0,2,Private room,Queens
100,2,226,2.12,250,3,Private room,Brooklyn
130,30,1,0.05,364,50,Entire home/apt,Manhattan
300,2,60,1.36,118,2,Entire home/apt,Manhattan
400,5,11,6.23,125,1,Entire home/apt,Manhattan
94,15,0,0.0,185,28,Private room,Manhattan
65,14,30,0.76,38,2,Private room,Brooklyn
129,1,23,4.16,109,1,Entire home/apt,Manhattan
90,3,0,0.0,21,2,Entire home/apt,Queens
119,1,1,0.04,0,1,Entire home/apt,Queens
60,3,0,0.0,229,1,Private room,Manhattan
252,30,0,0.0,315,232,Entire home/apt,Manhattan
90,5,18,0.87,2,1,Entire home/apt,Brooklyn
115,2,20,0.25,282,1,Entire home/apt,Brooklyn
135,3,4,0.13,0,1,Entire home/apt,Manhattan
200,2,27,2.3,217,2,Entire home/apt,Brooklyn
95,7,1,1.0,97,1,Private room,Brooklyn
113,3,69,2.8,99,2,Entire home/apt,Brooklyn
100,1,0,0.0,0,1,Private room,Manhattan
100,3,3,0.23,0,1,Entire home/apt,Manhattan
206,30,0,0.0,189,33,Entire home/apt,Manhattan
100,1,0,0.0,359,1,Private room,Brooklyn
129,15,0,0.0,332,1,Entire home/apt,Manhattan
89,3,11,4.58,13,1,Entire home/apt,Brooklyn
316,30,0,0.0,18,232,Entire home/apt,Manhattan
110,1,123,3.07,264,1,Private room,Manhattan
135,4,0,0.0,66,1,Private room,Manhattan
75,1,1,0.12,365,1,Shared room,Manhattan
200,2,13,2.81,352,327,Private room,Manhattan
145,2,52,0.86,0,1,Entire home/apt,Manhattan
120,7,1,0.41,338,47,Private room,Manhattan
50,2,2,2.0,356,4,Private room,Brooklyn
161,5,0,0.0,0,1,Entire home/apt,Manhattan
40,2,28,6.72,84,1,Private room,Bronx
195,2,34,0.97,0,1,Entire home/apt,Brooklyn
40,1,70,5.07,90,3,Private room,Queens
100,1,1,0.07,365,1,Private room,Manhattan
38,3,15,1.03,163,3,Private room,Queens
115,2,2,1.18,80,1,Entire home/apt,Queens
60,3,194,1.73,26,1,Private room,Manhattan
65,2,0,0.0,364,4,Private room,Bronx
350,1,5,0.49,5,2,Entire home/apt,Brooklyn
229,2,21,0.36,0,1,Entire home/apt,Manhattan
225,30,23,0.49,268,1,Entire home/apt,Brooklyn
120,4,1,1.0,10,1,Entire home/apt,Brooklyn
70,1,0,0.0,0,1,Private room,Queens
50,14,54,1.61,86,2,Private room,Brooklyn
38,2,0,0.0,171,3,Private room,Brooklyn
45,2,6,0.15,0,1,Private room,Bronx
112,4,13,0.3,0,1,Entire home/apt,Manhattan
40,10,0,0.0,0,3,Private room,Brooklyn
60,1,6,5.14,52,1,Private room,Brooklyn
130,3,6,0.51,194,1,Entire home/apt,Brooklyn
175,2,0,0.0,0,1,Entire home/apt,Brooklyn
70,22,16,0.29,173,3,Private room,Brooklyn
50,1,2,0.07,0,1,Private room,Queens
85,15,0,0.0,191,1,Entire home/apt,Brooklyn
345,2,78,2.49,185,1,Entire home/apt,Brooklyn
57,2,3,3.0,29,1,Private room,Brooklyn
335,2,21,0.53,304,1,Entire home/apt,Brooklyn
152,2,0,0.0,69,3,Entire home/apt,Manhattan
50,1,9,0.34,0,1,Private room,Brooklyn
150,30,1,0.04,188,1,Entire home/apt,Manhattan
45,3,58,2.53,97,3,Private room,Queens
210,30,0,0.0,188,87,Entire home/apt,Manhattan
275,2,125,3.44,146,1,Entire home/apt,Manhattan
80,1,7,0.76,85,1,Private room,Queens
41,2,8,0.24,0,1,Private room,Brooklyn
160,2,53,2.83,230,1,Entire home/apt,Brooklyn
100,5,0,0.0,0,2,Entire home/apt,Brooklyn
75,1,0,0.0,0,1,Private room,Manhattan
199,4,52,1.25,1,1,Entire home/apt,Manhattan
46,4,86,0.89,350,3,Private room,Brooklyn
85,1,18,3.62,92,1,Private room,Manhattan
250,3,107,1.64,273,1,Entire home/apt,Manhattan
120,1,89,3.43,9,1,Entire home/apt,Manhattan
88,2,132,3.23,14,1,Private room,Queens
189,5,18,1.4,21,1,Entire home/apt,Manhattan
399,14,0,0.0,67,2,Entire home/apt,Brooklyn
